timestamp,b0_0,b0_1,b0_2,b0_3,b0_4,b0_5,b0_6,b0_7,b0_8,b0_9,b0_10,b0_11,b1_0,b1_1,b1_2,b1_3,b1_4,b1_5,b1_6,b1_7,b1_8,b1_9,b1_10,b1_11,b2_0,b2_1,b2_2,b2_3,b2_4,b2_5,b2_6,b2_7,b2_8,b2_9,b2_10,b2_11,b2_12,b2_13,b2_14
1766910832.7929287,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,712,0
1766910832.8022492,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,679,0
1766910832.8125045,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,679,0
1766910832.822183,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,229,646,0
1766910832.8321447,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,224,646,0
1766910832.842171,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,657,0
1766910832.852267,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,657,0
1766910832.8621032,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,657,0
1766910832.8721175,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,678,0
1766910832.8820806,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,678,0
1766910832.892153,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,678,0
1766910832.902107,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,694,0
1766910832.9122255,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,694,0
1766910832.9220588,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,694,0
1766910832.9324205,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,705,0
1766910832.942562,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,705,0
1766910832.9521594,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,705,0
1766910832.9620993,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,691,0
1766910832.9721909,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,691,0
1766910832.9820232,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,671,0
1766910832.9922643,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,671,0
1766910833.002036,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,671,0
1766910833.012121,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,685,0
1766910833.0220475,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,685,0
1766910833.0321784,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,685,0
1766910833.042132,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,702,0
1766910833.0521472,0,794,0,0,794,0,0,0,0,0,794,0,0,798,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,702,0
