timestamp,b0_0,b0_1,b0_2,b0_3,b1_0,b1_1,b1_2,b1_3,b2_0,b2_1,b2_2,b2_3,b2_4,b2_5,b2_6
1766910833.152148,104.825,102.325,101.075,106.325,104.325,103.325,101.575,99.825,101.0725,101.40075,101.426,101.4765,238.35000000000002,44.3226,126.485
1766910833.1620274,104.825,102.325,101.075,106.325,104.325,103.325,101.575,99.825,101.0725,101.40075,101.426,101.4765,238.35000000000002,44.3226,126.485
1766910833.1720507,104.825,102.325,101.075,106.325,104.325,103.325,101.575,99.825,101.0725,101.40075,101.426,101.4765,238.35000000000002,44.3226,126.485
1766910833.182168,104.575,102.575,101.075,106.325,104.075,103.825,101.575,100.325,101.0725,101.45125,101.3755,101.4765,238.35000000000002,41.601,127.845
1766910833.1920955,104.575,102.575,101.075,106.325,104.075,103.825,101.575,100.325,101.0725,101.45125,101.3755,101.4765,238.35000000000002,41.601,127.845
1766910833.2021163,104.575,102.575,101.075,106.325,104.075,103.825,101.575,100.325,101.0725,101.45125,101.3755,101.4765,238.35000000000002,41.601,127.845
1766910833.212132,104.575,101.825,101.075,106.575,104.075,103.575,101.575,100.075,101.14825,101.50175,101.3755,101.45125,242.13,39.333000000000006,128.525
1766910833.2222133,104.575,101.825,101.075,106.575,104.075,103.575,101.575,100.075,101.14825,101.50175,101.3755,101.45125,242.13,39.333000000000006,128.525
1766910833.2320986,104.325,102.075,101.075,106.575,104.325,103.325,101.575,100.075,101.0725,101.40075,101.40075,101.4765,242.13,38.123400000000004,129.885
1766910833.2421694,104.325,102.075,101.075,106.575,104.325,103.325,101.575,100.075,101.0725,101.40075,101.40075,101.4765,242.13,38.123400000000004,129.885
1766910833.2521553,104.325,102.075,101.075,106.575,104.325,103.325,101.575,100.075,101.0725,101.40075,101.40075,101.4765,242.13,38.123400000000004,129.885
1766910833.2621453,103.575,101.825,101.075,106.075,104.325,104.075,101.575,99.575,101.09775,101.4765,101.35025,101.426,241.5,37.632000000000005,129.205
1766910833.2721505,103.575,101.825,101.075,106.075,104.325,104.075,101.575,99.575,101.09775,101.4765,101.35025,101.426,241.5,37.632000000000005,129.205
1766910833.2821503,103.575,101.825,101.075,106.075,104.325,104.075,101.575,99.575,101.09775,101.4765,101.35025,101.426,241.5,37.632000000000005,129.205
1766910833.292098,104.825,102.075,101.075,106.075,104.075,103.325,101.325,100.075,101.04725,101.4765,101.3755,101.45125,241.5,40.5048,127.845
1766910833.302207,104.825,102.075,101.075,106.075,104.075,103.325,101.325,100.075,101.04725,101.4765,101.3755,101.45125,241.5,40.5048,127.845
1766910833.312094,104.825,102.075,101.075,106.075,104.075,103.325,101.325,100.075,101.04725,101.4765,101.3755,101.45125,241.5,40.5048,127.845
1766910833.322149,104.325,102.325,101.075,106.575,104.075,103.825,100.825,100.325,101.09775,101.50175,101.3755,101.40075,242.13,40.656000000000006,127.845
1766910833.3321204,104.325,102.325,101.075,106.575,104.075,103.825,100.825,100.325,101.09775,101.50175,101.3755,101.40075,242.13,40.656000000000006,127.845
1766910833.3420906,103.575,101.825,101.575,106.325,104.075,103.575,101.575,100.075,100.99675,101.527,101.40075,101.40075,241.185,39.144000000000005,129.205
1766910833.352093,103.575,101.825,101.575,106.325,104.075,103.575,101.575,100.075,100.99675,101.527,101.40075,101.40075,241.185,39.144000000000005,129.205
1766910833.36213,103.575,101.825,101.575,106.325,104.075,103.575,101.575,100.075,100.99675,101.527,101.40075,101.40075,241.185,39.144000000000005,129.205
1766910833.3720224,104.325,102.325,101.575,106.075,104.325,103.575,101.325,100.075,101.022,101.45125,101.40075,101.426,245.28000000000003,37.178399999999996,128.525
1766910833.382144,104.325,102.325,101.575,106.075,104.325,103.575,101.325,100.075,101.022,101.45125,101.40075,101.426,245.28000000000003,37.178399999999996,128.525
1766910833.392217,104.325,102.325,101.575,106.075,104.325,103.575,101.325,100.075,101.022,101.45125,101.40075,101.426,245.28000000000003,37.178399999999996,128.525
1766910833.402132,104.325,102.325,101.575,106.075,104.325,103.575,101.325,100.075,101.022,101.45125,101.40075,101.426,245.28000000000003,37.178399999999996,128.525
1766910833.4121773,104.575,102.075,101.075,106.325,104.075,103.575,101.075,100.075,101.14825,101.45125,101.426,101.45125,244.33499999999998,36.5736,128.525
1766910833.422195,104.575,102.075,101.075,106.325,104.075,103.575,101.075,100.075,101.14825,101.45125,101.426,101.45125,244.33499999999998,36.5736,128.525
1766910833.4320865,104.075,102.325,100.825,106.325,104.325,103.575,101.325,100.075,100.99675,101.45125,101.325,101.3755,244.01999999999998,40.3158,127.165
1766910833.4420807,104.075,102.325,100.825,106.325,104.325,103.575,101.325,100.075,100.99675,101.45125,101.325,101.3755,244.01999999999998,40.3158,127.165
1766910833.4521332,104.075,102.325,100.825,106.325,104.325,103.575,101.325,100.075,100.99675,101.45125,101.325,101.3755,244.01999999999998,40.3158,127.165
1766910833.4621084,104.575,102.325,101.325,106.575,104.325,102.825,101.575,100.075,101.022,101.45125,101.40075,101.3755,243.70499999999998,44.3982,127.845
1766910833.4723604,104.575,102.325,101.325,106.575,104.325,102.825,101.575,100.075,101.022,101.45125,101.40075,101.3755,243.70499999999998,44.3982,127.845
1766910833.482153,104.575,102.825,101.325,106.075,104.075,103.825,101.575,100.075,101.022,101.426,101.426,101.426,244.01999999999998,43.150800000000004,128.525
1766910833.4921355,104.575,102.825,101.325,106.075,104.075,103.825,101.575,100.075,101.022,101.426,101.426,101.426,244.01999999999998,43.150800000000004,128.525
1766910833.5022311,104.575,102.825,101.325,106.075,104.075,103.825,101.575,100.075,101.022,101.426,101.426,101.426,244.01999999999998,43.150800000000004,128.525
1766910833.512246,103.825,102.325,101.325,106.325,104.325,103.575,101.325,100.075,101.04725,101.50175,101.40075,101.325,245.59500000000003,40.5048,128.525
1766910833.5220847,103.825,102.325,101.325,106.325,104.325,103.575,101.325,100.075,101.04725,101.50175,101.40075,101.325,245.59500000000003,40.5048,128.525
1766910833.5320368,103.825,102.325,101.325,106.325,104.325,103.575,101.325,100.075,101.04725,101.50175,101.40075,101.325,245.59500000000003,40.5048,128.525
1766910833.5421388,105.075,102.575,101.575,106.575,103.825,103.575,101.575,100.075,101.14825,101.4765,101.40075,101.426,247.17000000000002,38.577000000000005,128.525
1766910833.5521557,105.075,102.575,101.575,106.575,103.825,103.575,101.575,100.075,101.14825,101.4765,101.40075,101.426,247.17000000000002,38.577000000000005,128.525
1766910833.5623763,105.075,102.575,101.575,106.575,103.825,103.575,101.575,100.075,101.14825,101.4765,101.40075,101.426,247.17000000000002,38.577000000000005,128.525
1766910833.5722673,104.325,102.075,101.075,106.325,104.075,103.325,101.325,100.325,101.022,101.45125,101.45125,101.4765,247.17000000000002,37.178399999999996,128.525
1766910833.5821657,104.325,102.075,101.075,106.325,104.075,103.325,101.325,100.325,101.022,101.45125,101.45125,101.4765,247.17000000000002,37.178399999999996,128.525
1766910833.592138,104.325,102.075,101.075,106.325,104.075,103.325,101.325,100.325,101.022,101.45125,101.45125,101.4765,247.17000000000002,37.178399999999996,128.525
1766910833.6020195,104.075,102.325,101.325,106.325,104.325,103.575,101.075,99.825,101.022,101.50175,101.40075,101.4765,246.85500000000002,38.9928,127.845
